Time;Theta;Time(s);Theta(rad)
6145;59;6.145;1.02974425867665
6161;59;6.161;1.02974425867665
6177;59;6.177;1.02974425867665
6193;59;6.193;1.02974425867665
6209;59;6.209;1.02974425867665
6225;59;6.225;1.02974425867665
6241;59;6.241;1.02974425867665
6258;59;6.258;1.02974425867665
6274;59;6.274;1.02974425867665
6290;59;6.29;1.02974425867665
6306;59;6.306;1.02974425867665
6322;59;6.322;1.02974425867665
6338;59;6.338;1.02974425867665
6354;59;6.354;1.02974425867665
6370;59;6.37;1.02974425867665
6387;59;6.387;1.02974425867665
6403;59;6.403;1.02974425867665
6419;59;6.419;1.02974425867665
6435;59;6.435;1.02974425867665
6451;59;6.451;1.02974425867665
6467;59;6.467;1.02974425867665
6483;59;6.483;1.02974425867665
6500;59;6.5;1.02974425867665
6516;59;6.516;1.02974425867665
6532;59;6.532;1.02974425867665
6548;59;6.548;1.02974425867665
6564;59;6.564;1.02974425867665
6580;59;6.58;1.02974425867665
6596;59;6.596;1.02974425867665
6612;59;6.612;1.02974425867665
6629;59;6.629;1.02974425867665
6645;59;6.645;1.02974425867665
6661;59;6.661;1.02974425867665
6677;59;6.677;1.02974425867665
6693;59;6.693;1.02974425867665
6709;59;6.709;1.02974425867665
6725;59;6.725;1.02974425867665
6741;59;6.741;1.02974425867665
6758;59;6.758;1.02974425867665
6774;59;6.774;1.02974425867665
6790;59;6.79;1.02974425867665
6806;59;6.806;1.02974425867665
6822;59;6.822;1.02974425867665
6838;59;6.838;1.02974425867665
6854;59;6.854;1.02974425867665
6870;59;6.87;1.02974425867665
6887;59;6.887;1.02974425867665
6903;59;6.903;1.02974425867665
6919;59;6.919;1.02974425867665
6935;59;6.935;1.02974425867665
6951;59;6.951;1.02974425867665
6967;59;6.967;1.02974425867665
6983;59;6.983;1.02974425867665
7000;59;7;1.02974425867665
7016;59;7.016;1.02974425867665
7032;59;7.032;1.02974425867665
7048;59;7.048;1.02974425867665
7064;59;7.064;1.02974425867665
7080;59;7.08;1.02974425867665
7096;59;7.096;1.02974425867665
7112;59;7.112;1.02974425867665
7129;59;7.129;1.02974425867665
7145;59;7.145;1.02974425867665
7161;59;7.161;1.02974425867665
7177;59;7.177;1.02974425867665
7193;59;7.193;1.02974425867665
7209;59;7.209;1.02974425867665
7225;59;7.225;1.02974425867665
7241;59;7.241;1.02974425867665
7258;59;7.258;1.02974425867665
7274;59;7.274;1.02974425867665
7290;59;7.29;1.02974425867665
7306;59;7.306;1.02974425867665
7322;59;7.322;1.02974425867665
7338;59;7.338;1.02974425867665
7354;59;7.354;1.02974425867665
7370;59;7.37;1.02974425867665
7387;59;7.387;1.02974425867665
7403;59;7.403;1.02974425867665
7419;59;7.419;1.02974425867665
7435;59;7.435;1.02974425867665
7451;59;7.451;1.02974425867665
7467;59;7.467;1.02974425867665
7483;59;7.483;1.02974425867665
7500;59;7.5;1.02974425867665
7516;59;7.516;1.02974425867665
7532;59;7.532;1.02974425867665
7548;59;7.548;1.02974425867665
7564;59;7.564;1.02974425867665
7580;59;7.58;1.02974425867665
7596;59;7.596;1.02974425867665
7612;59;7.612;1.02974425867665
7629;59;7.629;1.02974425867665
7645;59;7.645;1.02974425867665
7661;59;7.661;1.02974425867665
7677;59;7.677;1.02974425867665
7693;59;7.693;1.02974425867665
7709;59;7.709;1.02974425867665
7725;59;7.725;1.02974425867665
7741;59;7.741;1.02974425867665
7758;59;7.758;1.02974425867665
7774;59;7.774;1.02974425867665
7790;59;7.79;1.02974425867665
7806;59;7.806;1.02974425867665
7822;59;7.822;1.02974425867665
7838;59;7.838;1.02974425867665
7854;59;7.854;1.02974425867665
7870;59;7.87;1.02974425867665
7887;59;7.887;1.02974425867665
7903;59;7.903;1.02974425867665
7919;59;7.919;1.02974425867665
7935;59;7.935;1.02974425867665
7951;59;7.951;1.02974425867665
7967;59;7.967;1.02974425867665
7983;59;7.983;1.02974425867665
8000;59;8;1.02974425867665
8016;59;8.016;1.02974425867665
8032;59;8.032;1.02974425867665
8048;59;8.048;1.02974425867665
8064;59;8.064;1.02974425867665
8080;59;8.08;1.02974425867665
8096;60;8.096;1.0471975511966
8112;59;8.112;1.02974425867665
8129;59;8.129;1.02974425867665
8145;59;8.145;1.02974425867665
8161;60;8.161;1.0471975511966
8177;59;8.177;1.02974425867665
8193;60;8.193;1.0471975511966
8209;59;8.209;1.02974425867665
8225;60;8.225;1.0471975511966
8241;59;8.241;1.02974425867665
8258;60;8.258;1.0471975511966
8274;59;8.274;1.02974425867665
8290;60;8.29;1.0471975511966
8306;59;8.306;1.02974425867665
8322;60;8.322;1.0471975511966
8338;59;8.338;1.02974425867665
8354;60;8.354;1.0471975511966
8370;59;8.37;1.02974425867665
8387;60;8.387;1.0471975511966
8403;59;8.403;1.02974425867665
8419;60;8.419;1.0471975511966
8435;59;8.435;1.02974425867665
8451;60;8.451;1.0471975511966
8467;59;8.467;1.02974425867665
8483;60;8.483;1.0471975511966
8500;59;8.5;1.02974425867665
8516;60;8.516;1.0471975511966
8532;59;8.532;1.02974425867665
8548;60;8.548;1.0471975511966
8564;59;8.564;1.02974425867665
8580;60;8.58;1.0471975511966
8596;60;8.596;1.0471975511966
8612;60;8.612;1.0471975511966
8629;59;8.629;1.02974425867665
8645;60;8.645;1.0471975511966
8661;59;8.661;1.02974425867665
8677;60;8.677;1.0471975511966
8693;60;8.693;1.0471975511966
8709;60;8.709;1.0471975511966
8725;60;8.725;1.0471975511966
8741;60;8.741;1.0471975511966
8758;60;8.758;1.0471975511966
8774;60;8.774;1.0471975511966
8790;60;8.79;1.0471975511966
8806;60;8.806;1.0471975511966
8822;60;8.822;1.0471975511966
8838;60;8.838;1.0471975511966
8854;60;8.854;1.0471975511966
8870;60;8.87;1.0471975511966
8887;60;8.887;1.0471975511966
8903;60;8.903;1.0471975511966
8919;60;8.919;1.0471975511966
8935;60;8.935;1.0471975511966
8951;60;8.951;1.0471975511966
8967;60;8.967;1.0471975511966
8983;60;8.983;1.0471975511966
9000;60;9;1.0471975511966
9016;60;9.016;1.0471975511966
9032;60;9.032;1.0471975511966
9048;60;9.048;1.0471975511966
9064;60;9.064;1.0471975511966
9080;60;9.08;1.0471975511966
9096;60;9.096;1.0471975511966
9112;60;9.112;1.0471975511966
9129;60;9.129;1.0471975511966
9145;60;9.145;1.0471975511966
9161;60;9.161;1.0471975511966
9177;60;9.177;1.0471975511966
9193;60;9.193;1.0471975511966
9209;60;9.209;1.0471975511966
9225;60;9.225;1.0471975511966
9241;60;9.241;1.0471975511966
9258;60;9.258;1.0471975511966
9274;60;9.274;1.0471975511966
9290;60;9.29;1.0471975511966
9306;60;9.306;1.0471975511966
9322;60;9.322;1.0471975511966
9338;60;9.338;1.0471975511966
9354;60;9.354;1.0471975511966
9370;60;9.37;1.0471975511966
9387;60;9.387;1.0471975511966
9403;60;9.403;1.0471975511966
9419;60;9.419;1.0471975511966
9435;60;9.435;1.0471975511966
9451;60;9.451;1.0471975511966
9467;60;9.467;1.0471975511966
9483;60;9.483;1.0471975511966
9500;60;9.5;1.0471975511966
9516;60;9.516;1.0471975511966
9532;60;9.532;1.0471975511966
9548;60;9.548;1.0471975511966
9564;60;9.564;1.0471975511966
9580;60;9.58;1.0471975511966
9596;60;9.596;1.0471975511966
9612;60;9.612;1.0471975511966
9629;60;9.629;1.0471975511966
